Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Dacia,Spring,2024,88342,2026-11-24,Essence,Manuelle,200,Euro 6,Rouge,Break,Allemagne,22000,21160.0
Renault,Talisman,2021,113149,2024-05-02,Hybride,Automatique,200,Euro 1,Blanc,Berline,USA,40000,37600.0
Kia,Sportage,2019,135015,2021-06-14,Electrique,Manuelle,150,Euro 1,Noir,Monospace,Italie,34000,29160.0
Hyundai,i30,2009,152986,2011-12-05,Essence,Manuelle,130,Euro 3,Rouge,Crossover,Espagne,22000,8920.0
Peugeot,208,2018,94456,2019-11-15,Electrique,Automatique,90,Euro 1,Bleu,Berline,Espagne,18000,18907.0
Toyota,Hilux,2022,168051,2025-10-29,Hybride,Manuelle,130,Euro 1,Blanc,SUV,Allemagne,45000,38454.0
Toyota,Hilux,2023,223267,2024-11-24,Essence,Automatique,200,Euro 6,Bleu,Crossover,Italie,45000,36000.0
Citroen,C3,2015,133630,2016-01-15,Hybride,Automatique,130,Euro 1,Bleu,Break,USA,16000,13380.0
Peugeot,208,2011,38256,2014-11-18,Hybride,Manuelle,90,Euro 1,Bleu,Crossover,Espagne,18000,12702.0
Toyota,Yaris,2005,40667,2007-11-12,Diesel,Automatique,90,Euro 3,Gris,SUV,Allemagne,19000,8541.0
Kia,Ceed,2005,17503,2008-02-27,Diesel,Automatique,90,Euro 3,Bleu,Crossover,Japon,23000,10878.0
Kia,Rio,2006,185925,2006-01-28,Gaz,Automatique,110,Euro 3,Gris,Berline,Japon,18900,6580.0
Hyundai,i20,2017,109946,2017-08-26,Hybride,Automatique,200,Euro 1,Gris,Monospace,France,19500,18285.0
Audi,Q5,2017,219354,2020-02-26,Hybride,Automatique,110,Euro 1,Gris,Break,Italie,65000,41238.0
Dacia,Sandero,2013,119359,2013-10-27,Essence,Manuelle,130,Euro 4,Rouge,Break,Japon,15900,9072.0
Dacia,Spring,2014,238023,2017-04-17,Gaz,Automatique,200,Euro 4,Blanc,Crossover,USA,22000,12925.0
Toyota,Hilux,2006,61757,2007-03-04,Essence,Manuelle,150,Euro 3,Gris,Monospace,USA,45000,18200.0
Kia,Rio,2010,93951,2012-01-03,Essence,Manuelle,110,Euro 4,Rouge,Berline,Allemagne,18900,9310.0
Mercedes,Classe E,2014,129956,2014-01-21,Gaz,Manuelle,90,Euro 4,Rouge,Monospace,Japon,75000,44892.0
Ford,Fiesta,2016,152689,2017-03-25,Hybride,Automatique,200,Euro 1,Bleu,Crossover,USA,18000,15250.0
Audi,A6,2018,63558,2020-04-07,Gaz,Automatique,200,Euro 5,Noir,Berline,Japon,72000,58900.0
Toyota,RAV4,2023,219922,2025-05-08,Essence,Manuelle,150,Euro 6,Gris,Monospace,France,37000,28500.0
Volkswagen,Golf,2007,141167,2007-01-02,Gaz,Automatique,90,Euro 3,Bleu,Monospace,Japon,25000,10290.0
Mercedes,Classe C,2016,227119,2018-11-03,Gaz,Automatique,200,Euro 5,Rouge,Monospace,Espagne,55000,32670.0
Toyota,Hilux,2020,53499,2022-03-27,Gaz,Automatique,150,Euro 6,Rouge,Crossover,Espagne,45000,41500.0
Kia,Sportage,2020,53783,2022-01-20,Hybride,Manuelle,150,Euro 1,Noir,Berline,Japon,34000,31955.0
Tesla,Model X,2015,220948,2016-03-31,Gaz,Manuelle,90,Euro 5,Blanc,Break,Allemagne,120000,62424.0
Dacia,Duster,2009,38602,2011-04-13,Diesel,Manuelle,150,Euro 3,Blanc,SUV,USA,19900,11128.0
Peugeot,3008,2014,117888,2014-05-13,Essence,Manuelle,200,Euro 4,Noir,Berline,Italie,35000,21240.0
Audi,A6,2006,211978,2008-09-21,Diesel,Automatique,110,Euro 3,Rouge,Monospace,Japon,72000,18775.0
Citroen,C3,2007,79525,2010-04-23,Diesel,Manuelle,110,Euro 3,Rouge,Berline,France,16000,7182.0
Audi,Q5,2009,204169,2009-12-24,Essence,Automatique,130,Euro 3,Bleu,Break,USA,65000,23555.0
Mercedes,GLC,2014,11362,2017-11-16,Essence,Automatique,130,Euro 4,Gris,Monospace,France,85000,60237.0
BMW,Serie 5,2015,103773,2017-03-08,Diesel,Manuelle,200,Euro 5,Blanc,Monospace,USA,65000,42210.0
Ford,Kuga,2019,241164,2021-03-05,Diesel,Manuelle,150,Euro 5,Blanc,Monospace,USA,34000,21655.0
Peugeot,308,2008,43271,2008-09-15,Gaz,Manuelle,110,Euro 3,Bleu,Crossover,France,30000,15648.0
Toyota,Hilux,2022,59091,2024-06-17,Essence,Manuelle,90,Euro 6,Noir,Crossover,USA,45000,39961.0
Citroen,C5 Aircross,2010,76801,2013-03-04,Gaz,Automatique,110,Euro 4,Blanc,Break,Allemagne,35000,20196.0
Tesla,Model 3,2009,59092,2012-01-06,Gaz,Manuelle,200,Euro 3,Noir,SUV,Italie,45000,24250.0
Tesla,Model 3,2019,59213,2019-09-25,Gaz,Automatique,130,Euro 5,Rouge,Monospace,USA,45000,39840.0
Mercedes,GLC,2010,30573,2010-03-08,Hybride,Manuelle,200,Euro 1,Noir,Berline,Italie,85000,49500.0
BMW,Serie 5,2013,143332,2016-07-02,Hybride,Manuelle,110,Euro 1,Blanc,Monospace,Allemagne,65000,36623.0
Kia,Ceed,2011,197778,2014-11-12,Hybride,Automatique,130,Euro 1,Gris,Crossover,USA,23000,12306.0
Ford,Focus,2006,234724,2007-11-07,Gaz,Manuelle,130,Euro 3,Rouge,SUV,Espagne,26000,6624.0
Kia,Ceed,2009,39635,2012-01-26,Diesel,Automatique,150,Euro 3,Gris,Monospace,USA,23000,13780.0
Ford,Fiesta,2014,26602,2014-12-06,Essence,Automatique,150,Euro 4,Noir,Monospace,Italie,18000,13940.0
Citroen,C5 Aircross,2005,110100,2005-08-02,Gaz,Manuelle,110,Euro 3,Blanc,SUV,Allemagne,35000,12032.0
Toyota,Corolla,2023,43754,2023-10-27,Hybride,Automatique,150,Euro 1,Gris,Monospace,USA,28000,32085.0
Hyundai,i30,2007,206112,2010-07-15,Gaz,Manuelle,90,Euro 3,Gris,Crossover,Japon,22000,7076.0
Dacia,Spring,2016,15797,2019-11-11,Gaz,Manuelle,130,Euro 5,Gris,SUV,Japon,22000,18600.0
Citroen,C5 Aircross,2017,82040,2020-01-22,Hybride,Automatique,110,Euro 1,Rouge,Berline,Italie,35000,29181.0
Volkswagen,Arteon,2018,209957,2019-10-19,Electrique,Automatique,90,Euro 1,Blanc,SUV,Italie,48000,34658.0
Ford,Kuga,2012,28256,2013-05-11,Diesel,Manuelle,110,Euro 4,Rouge,Break,USA,34000,21762.0
BMW,X5,2020,185610,2020-01-08,Electrique,Manuelle,90,Euro 1,Blanc,Crossover,USA,80000,60130.0
BMW,Serie 5,2023,90002,2023-02-01,Essence,Manuelle,200,Euro 6,Bleu,Crossover,France,65000,58080.0
Hyundai,i30,2005,35670,2007-11-11,Essence,Automatique,150,Euro 3,Rouge,Crossover,Espagne,22000,9800.0
Peugeot,308,2011,197313,2014-11-28,Essence,Manuelle,200,Euro 4,Gris,Break,Japon,30000,13020.0
Kia,Sportage,2012,207234,2013-03-25,Hybride,Manuelle,200,Euro 1,Rouge,Berline,USA,34000,17160.0
Renault,Talisman,2022,183578,2023-05-12,Electrique,Manuelle,200,Euro 1,Rouge,Crossover,USA,40000,35720.0
Tesla,Model S,2024,47468,2024-11-08,Electrique,Manuelle,90,Euro 1,Noir,SUV,Italie,95000,96864.0
Audi,Q5,2020,140762,2021-12-01,Diesel,Automatique,90,Euro 6,Noir,Crossover,Espagne,65000,50246.0
Renault,Megane,2013,73165,2013-09-03,Gaz,Automatique,150,Euro 4,Blanc,Berline,Japon,25000,18000.0
Audi,A6,2013,220740,2013-08-15,Gaz,Automatique,90,Euro 4,Bleu,SUV,Italie,72000,34380.0
Ford,Fiesta,2005,141399,2006-07-08,Gaz,Automatique,90,Euro 3,Noir,Crossover,Japon,18000,6496.0
Audi,Q5,2017,68190,2020-01-15,Gaz,Automatique,150,Euro 5,Rouge,SUV,France,65000,51100.0
Citroen,C4,2019,177022,2019-09-16,Hybride,Manuelle,90,Euro 1,Bleu,SUV,Espagne,24000,18972.0
Ford,Focus,2008,111003,2009-12-29,Diesel,Manuelle,110,Euro 3,Bleu,Crossover,France,26000,11111.0
Audi,A4,2022,214000,2025-12-27,Essence,Manuelle,90,Euro 6,Blanc,Crossover,Espagne,48000,34967.0
Mercedes,Classe C,2006,160683,2008-04-05,Gaz,Automatique,200,Euro 3,Gris,Monospace,Italie,55000,18150.0
Citroen,C3,2007,52684,2007-02-24,Diesel,Manuelle,110,Euro 3,Gris,Crossover,Japon,16000,7524.0
Peugeot,5008,2018,185725,2020-11-28,Diesel,Automatique,150,Euro 5,Gris,SUV,France,42000,29120.0
Dacia,Spring,2018,163957,2020-02-11,Electrique,Automatique,150,Euro 1,Rouge,Crossover,Allemagne,22000,20130.0
Ford,Kuga,2023,184987,2024-01-11,Gaz,Automatique,110,Euro 6,Bleu,Crossover,Espagne,34000,30494.0
Hyundai,i30,2021,93209,2024-04-29,Hybride,Manuelle,130,Euro 1,Blanc,Monospace,Espagne,22000,21566.0
Audi,A6,2006,155884,2009-01-24,Essence,Manuelle,110,Euro 3,Blanc,SUV,Espagne,72000,22351.0
Kia,Rio,2006,213471,2006-06-14,Essence,Manuelle,200,Euro 3,Blanc,Berline,France,18900,4975.0
Toyota,Corolla,2016,233669,2016-11-24,Hybride,Automatique,150,Euro 1,Rouge,Monospace,Japon,28000,18285.0
Audi,A3,2017,246631,2020-07-22,Essence,Manuelle,150,Euro 5,Blanc,Monospace,Italie,34000,18975.0
Volkswagen,Passat,2011,243867,2014-12-27,Gaz,Manuelle,130,Euro 4,Noir,Crossover,Espagne,36000,14356.0
Audi,Q5,2015,225564,2017-04-30,Hybride,Automatique,200,Euro 1,Blanc,SUV,Allemagne,65000,36720.0
Citroen,C4,2007,220564,2009-06-15,Diesel,Manuelle,90,Euro 3,Bleu,Break,USA,24000,6723.0
Renault,Megane,2013,76991,2013-12-09,Gaz,Automatique,90,Euro 4,Gris,Berline,Italie,25000,17640.0
Kia,Ceed,2016,235151,2019-01-01,Hybride,Automatique,90,Euro 1,Blanc,Monospace,France,23000,15317.0
Hyundai,i20,2009,158573,2011-02-19,Essence,Manuelle,90,Euro 3,Blanc,Crossover,Italie,19500,7760.0
Mercedes,GLC,2010,97520,2010-10-31,Diesel,Automatique,130,Euro 4,Rouge,Crossover,Japon,85000,43267.0
Audi,Q5,2009,49487,2009-10-13,Gaz,Automatique,90,Euro 3,Rouge,Monospace,Allemagne,65000,35394.0
Audi,A4,2012,243182,2013-01-15,Gaz,Automatique,110,Euro 4,Bleu,Crossover,France,48000,21040.0
